country_iso3,country_name,player_name,position,current_club,current_league,previous_club,transfer_fee_eur,fee_confirmed,source,source_url,date_retrieved,notes
ZWE,Zimbabwe,Marvelous Nakamba,Midfielder,Luton Town,England (EFL Championship),Aston Villa,,false,Herald (Zimbabwe) - Zimbabwe's Top Footballers Competing in Europe's Major Leagues,https://www.heraldonline.co.zw/zimbabwes-top-footballers-competing-in-europes-major-leagues/,2026-09-09,Career began in France (2013); fee not stated in source - left blank rather than estimated.
ZWE,Zimbabwe,Tawanda Chirewa,Forward,Wolverhampton Wanderers,England (Premier League),Ipswich Town (loan),,false,Herald (Zimbabwe) - Zimbabwe's Top Footballers Competing in Europe's Major Leagues,https://www.heraldonline.co.zw/zimbabwes-top-footballers-competing-in-europes-major-leagues/,2026-09-09,Age ~20 per source; fee not stated.
ZWE,Zimbabwe,Jordan Zemura,Defender,Udinese,Italy (Serie A),AFC Bournemouth,,false,Herald (Zimbabwe) - Zimbabwe's Top Footballers Competing in Europe's Major Leagues,https://www.heraldonline.co.zw/zimbabwes-top-footballers-competing-in-europes-major-leagues/,2026-09-09,Fee not stated in source.
ZWE,Zimbabwe,Phila Kadewere,Forward,Nantes,France (Ligue 1),Clubs in Sweden (Djurgarden)/France/Spain,,false,Herald (Zimbabwe) - Zimbabwe's Top Footballers Competing in Europe's Major Leagues,https://www.heraldonline.co.zw/zimbabwes-top-footballers-competing-in-europes-major-leagues/,2026-09-09,Age ~28 per source; fee not stated.
KEN,Kenya,Collins Sichenje,Centre-back,Charlton Athletic,England (EFL Championship),FK Vojvodina,1900000,true,The Star (Kenya) - Kenyan footballers break into Europe,https://www.the-star.co.ke/sports/football/2026-01-30-kenyan-footballers-break-into-europe-sichenje-ochieng-wanjala-lead-the-way,2026-09-09,Only case-study transfer in this file with a reported fee.
KEN,Kenya,Job Ochieng,Forward,Real Sociedad,Spain (La Liga),,,false,The Star (Kenya) - Kenyan footballers break into Europe,https://www.the-star.co.ke/sports/football/2026-01-30-kenyan-footballers-break-into-europe-sichenje-ochieng-wanjala-lead-the-way,2026-09-09,"Named on the bench, awaiting debut per source; fee not stated."
KEN,Kenya,Suleiman Okwaro,,Stade de Reims,France (Ligue 1),Nairobi United,,false,The Star (Kenya) - Kenyan footballers break into Europe,https://www.the-star.co.ke/sports/football/2026-01-30-kenyan-footballers-break-into-europe-sichenje-ochieng-wanjala-lead-the-way,2026-09-09,Six-month loan with a four-year permanent contract agreed per source; fee not stated.
KEN,Kenya,Amos Wanjala,Centre-back,Valencia CF (Mestalla academy),Spain (academy),,,false,The Star (Kenya) - Kenyan footballers break into Europe,https://www.the-star.co.ke/sports/football/2026-01-30-kenyan-footballers-break-into-europe-sichenje-ochieng-wanjala-lead-the-way,2026-09-09,"Age ~19 per source; academy move, not a first-team transfer fee."
MWI,Malawi,John Banda,Midfielder,UD Songo,Mozambique,,,false,Nyasa Times - Malawi footballers playing abroad in surprising places,https://www.nyasatimes.com/malawi-footballers-playing-abroad-in-surprising-places/,2026-09-09,Fee not stated in source.
MWI,Malawi,Schumacher Kuwali,Midfielder,UD Songo,Mozambique,,,false,Nyasa Times - Malawi footballers playing abroad in surprising places,https://www.nyasatimes.com/malawi-footballers-playing-abroad-in-surprising-places/,2026-09-09,Fee not stated in source.
MWI,Malawi,Charles Petro,Defender,Sheriff Tiraspol,Moldova,,,false,Nyasa Times - Malawi footballers playing abroad in surprising places,https://www.nyasatimes.com/malawi-footballers-playing-abroad-in-surprising-places/,2026-09-09,Described by the source as the furthest-flung Malawian player abroad; has represented The Flames in FIFA World Cup qualifiers; fee not stated.
